date,open,high,low,close,volume
2022-01-03,149.78,150.3,148.21,149.71,3545148
2022-01-04,150.1,150.37,148.46,149.36,634087
2022-01-05,148.89,150.3,147.56,149.82,2952237
2022-01-06,149.54,153.37,147.9,152.15,529244
2022-01-07,151.99,153.61,150.07,153.21,2014675
2022-01-10,152.8,153.08,148.59,150.3,3216767
2022-01-11,150.34,153.39,149.52,151.44,2984183
2022-01-12,151.77,153.05,146.67,148.41,3098085
2022-01-13,148.14,148.89,147.89,148.24,1547559
2022-01-14,147.84,148.47,146.34,147.65,2141745
2022-01-17,147.42,149.3,145.38,146.71,3241090
2022-01-18,146.38,149.2,145.97,147.71,2207549
2022-01-19,147.77,151.96,146.07,150.56,3992000
2022-01-20,150.29,150.53,149.59,150.37,1704834
2022-01-21,150.75,152.23,149.4,151.53,2280344
2022-01-24,151.94,157.14,151.34,156.17,1609824
2022-01-25,156.25,158.06,153.86,154.72,1486943
2022-01-26,155.22,156.29,153.86,154.13,712024
2022-01-27,154.42,157.2,154.2,156.3,2217287
2022-01-28,156.8,159.2,154.85,158.09,4373509
2022-01-31,158.27,162.4,157.66,161.28,3384328
2022-02-01,160.89,162.44,159.93,161.51,4792172
2022-02-02,161.51,163.06,159.68,162.62,4417334
2022-02-03,162.42,163.73,160.26,161.52,1187777
2022-02-04,161.8,162.91,161.62,161.72,1958702
2022-02-07,161.24,163.11,157.47,159.24,4242495
2022-02-08,159.62,161.52,158.74,159.0,2686957
2022-02-09,158.57,161.2,157.01,159.65,1077762
2022-02-10,159.42,161.18,156.25,157.15,1453092
2022-02-11,157.19,159.03,156.71,157.54,1902723
2022-02-14,157.48,161.52,157.15,160.44,1511138
2022-02-15,160.28,161.57,159.74,160.35,1490978
2022-02-16,160.08,164.72,158.35,162.9,818858
2022-02-17,162.64,165.49,162.13,164.12,1095403
2022-02-18,164.09,168.1,162.46,166.51,1356845
2022-02-21,166.11,167.03,164.58,165.48,2601611
2022-02-22,165.96,166.25,164.23,165.09,2026862
2022-02-23,165.45,166.02,161.66,162.12,2518761
2022-02-24,161.87,163.72,159.75,160.69,4376071
2022-02-25,160.74,161.65,158.74,161.45,4262124
2022-02-28,161.8,166.35,160.78,165.93,1461863
2022-03-01,165.83,166.04,164.23,165.05,4933890
2022-03-02,165.01,165.91,162.8,164.72,4979402
2022-03-03,164.78,169.67,164.39,168.21,1835185
2022-03-04,168.25,172.31,168.04,170.79,3128799
2022-03-07,170.79,172.51,169.88,170.28,4823505
2022-03-08,170.38,172.78,169.83,171.4,1039490
2022-03-09,171.79,172.59,170.56,172.02,3287217
2022-03-10,172.04,173.92,169.22,169.71,3722863
2022-03-11,169.45,171.85,168.07,171.0,1849987
2022-03-14,170.57,171.54,167.65,169.65,4982434
2022-03-15,169.22,173.2,168.62,172.7,4699667
2022-03-16,172.57,176.11,170.89,175.71,3665930
2022-03-17,175.82,177.8,171.57,172.91,535204
2022-03-18,173.07,175.48,172.71,173.6,1019429
2022-03-21,173.21,174.36,171.44,172.06,3221734
2022-03-22,172.19,172.79,170.76,171.79,4574014
2022-03-23,172.14,172.42,169.57,170.47,1745061
2022-03-24,170.61,174.5,169.1,173.9,2982562
2022-03-25,173.83,174.1,173.59,173.98,4473979
2022-03-28,174.31,177.26,173.93,176.05,1073505
2022-03-29,175.86,177.67,173.01,174.62,4373162
2022-03-30,174.37,176.03,172.79,175.73,4478606
2022-03-31,175.64,176.92,174.53,174.92,4684465
2022-04-01,175.23,180.3,175.08,178.53,3814540
2022-04-04,178.36,180.23,172.8,174.42,4388288
2022-04-05,174.71,175.32,172.95,175.01,4363670
2022-04-06,174.73,176.38,172.58,173.55,1873359
2022-04-07,173.07,174.42,172.35,173.95,4389588
2022-04-08,174.42,175.05,171.25,172.57,2298553
2022-04-11,173.01,175.35,171.07,175.03,1303555
2022-04-12,175.49,176.09,174.43,174.74,2455537
2022-04-13,174.85,175.92,173.68,174.51,3094646
2022-04-14,174.26,175.71,172.69,172.79,4665088
2022-04-15,173.03,174.4,168.9,169.69,814882
2022-04-18,169.85,170.58,168.23,168.93,4316069
2022-04-19,168.74,169.62,167.75,168.61,1830448
2022-04-20,168.24,169.14,165.06,166.95,3547931
2022-04-21,166.75,170.36,166.65,169.22,1791112
2022-04-22,169.15,170.35,166.29,167.63,2592447
2022-04-25,167.6,169.41,164.72,166.33,1263611
2022-04-26,165.91,167.9,164.61,166.82,2008347
2022-04-27,166.99,168.74,166.51,168.21,609914
2022-04-28,167.95,168.95,163.47,165.18,827727
2022-04-29,164.87,166.29,161.72,162.76,1597930
2022-05-02,162.92,164.31,161.39,164.2,3965208
2022-05-03,163.88,167.77,162.8,165.85,725983
2022-05-04,165.6,168.87,164.63,167.16,4106375
2022-05-05,167.26,169.17,162.43,164.22,3256935
2022-05-06,164.44,165.5,157.38,159.06,2965424
2022-05-09,159.03,162.29,158.46,161.7,3369476
2022-05-10,161.97,163.06,158.42,159.71,1735689
2022-05-11,159.48,161.87,158.35,161.16,1122683
2022-05-12,160.89,163.35,159.45,161.93,789030
2022-05-13,161.85,162.34,158.94,159.84,4571773
2022-05-16,159.92,162.63,158.19,161.21,3945176
2022-05-17,161.06,162.59,159.33,161.05,4790437
2022-05-18,160.97,162.72,159.83,161.2,3214637
2022-05-19,161.14,161.62,160.4,161.46,3556138
2022-05-20,161.36,163.25,160.37,162.84,1074325
2022-05-23,162.73,163.9,162.35,162.5,3392373
2022-05-24,162.14,163.16,161.94,162.18,2205967
2022-05-25,162.44,163.42,160.91,162.6,4243659
2022-05-26,162.35,164.59,162.21,164.33,2927386
2022-05-27,164.48,167.77,163.14,166.19,3894049
2022-05-30,166.64,167.12,166.05,166.19,1185721
2022-05-31,166.25,168.79,164.82,168.28,3951041
2022-06-01,167.95,171.65,166.43,170.4,1015398
2022-06-02,170.01,172.73,169.32,172.58,3548063
2022-06-03,173.04,173.89,166.43,167.89,841984
2022-06-06,167.49,169.06,165.15,166.87,3201852
2022-06-07,166.49,168.46,162.66,164.25,2062417
2022-06-08,164.26,165.01,160.81,162.52,4200489
2022-06-09,162.13,165.29,160.82,163.36,4229183
2022-06-10,163.59,165.52,162.18,162.79,4136896
2022-06-13,162.83,163.85,159.8,160.73,3789618
2022-06-14,161.06,161.32,158.5,160.28,1597385
2022-06-15,160.24,165.42,159.42,164.16,629150
2022-06-16,163.87,166.53,163.12,164.91,4461440
2022-06-17,165.11,165.73,163.77,163.89,4766282
2022-06-20,163.88,168.17,162.47,166.63,3406563
2022-06-21,166.62,169.88,166.34,168.27,1497184
2022-06-22,168.35,169.35,166.55,167.66,2414767
2022-06-23,167.91,168.64,164.62,166.06,1719124
2022-06-24,165.75,166.38,164.63,166.05,3929853
2022-06-27,165.74,167.57,164.72,167.06,3760633
2022-06-28,166.84,169.76,166.37,169.47,1523674
2022-06-29,169.15,169.28,168.0,169.11,1734401
2022-06-30,169.31,171.96,167.56,171.62,2708954
2022-07-01,171.99,173.18,170.22,171.21,2482110
2022-07-04,171.65,172.66,169.81,171.47,2303183
2022-07-05,171.04,173.37,170.84,172.07,1171389
2022-07-06,172.56,172.89,168.95,170.5,3228429
2022-07-07,170.79,171.32,168.76,169.85,2527315
2022-07-08,170.34,171.02,164.86,166.14,3243339
2022-07-11,166.38,169.44,165.89,167.54,1449613
2022-07-12,167.21,167.45,166.81,166.92,2527267
2022-07-13,167.01,167.66,165.39,165.93,3681301
2022-07-14,166.12,167.98,163.69,165.29,3312761
2022-07-15,165.45,167.32,162.27,163.18,2950531
2022-07-18,163.51,163.75,160.14,160.56,1884253
2022-07-19,160.81,161.99,156.41,157.06,1059591
2022-07-20,157.5,158.55,154.85,155.89,861988
2022-07-21,155.43,156.35,152.31,153.02,1626656
2022-07-22,153.36,158.5,151.45,157.31,4998076
2022-07-25,157.48,160.7,157.3,160.09,3903210
2022-07-26,160.51,160.95,156.03,157.24,3356531
2022-07-27,157.23,158.05,156.47,157.78,1999888
2022-07-28,157.61,159.03,155.23,155.88,4753371
2022-07-29,156.19,157.34,151.46,152.42,1915327
2022-08-01,152.32,153.4,148.08,150.06,3459472
2022-08-02,150.1,155.7,149.64,154.81,2128007
2022-08-03,155.07,155.56,153.78,154.92,4674527
2022-08-04,154.86,156.29,151.79,152.12,4879161
2022-08-05,151.78,152.93,149.82,150.97,919441
2022-08-08,151.46,153.29,149.06,150.04,1028598
2022-08-09,150.26,152.27,149.64,151.2,4256258
2022-08-10,151.68,152.24,148.01,149.16,2226137
2022-08-11,149.54,153.0,148.92,151.26,4055028
2022-08-12,151.17,153.05,149.08,150.14,4192473
2022-08-15,150.23,152.23,148.76,149.79,1168679
2022-08-16,149.83,152.2,148.68,151.44,2945435
2022-08-17,151.13,152.56,148.56,149.75,1551031
2022-08-18,150.03,150.42,148.52,150.24,3673525
2022-08-19,150.4,152.64,148.44,150.98,2728979
2022-08-22,150.52,151.57,147.93,149.15,4413651
2022-08-23,149.18,151.64,147.71,150.67,2344904
2022-08-24,150.82,151.21,148.15,149.14,4861416
2022-08-25,149.29,151.01,145.8,147.52,4367040
2022-08-26,147.4,150.83,145.93,150.13,3917308
2022-08-29,149.7,151.81,147.85,150.51,4988417
2022-08-30,150.76,151.68,149.83,150.12,3351865
2022-08-31,150.31,153.45,150.12,151.63,4082646
2022-09-01,151.42,152.23,149.7,150.08,2890248
2022-09-02,149.75,150.0,145.08,146.83,3288697
2022-09-05,146.57,148.4,145.03,145.4,2575175
2022-09-06,144.91,146.99,143.1,145.36,3549249
2022-09-07,145.02,147.84,144.26,146.9,3144073
2022-09-08,146.65,148.36,145.07,145.55,2231120
2022-09-09,145.53,146.08,142.75,143.94,3086654
2022-09-12,144.42,146.96,143.8,145.61,3046681
2022-09-13,145.8,147.31,145.34,145.53,3228829
2022-09-14,145.32,146.94,139.95,141.2,2085444
2022-09-15,141.34,142.62,139.9,141.29,3744178
2022-09-16,141.42,143.24,137.9,139.23,1890198
2022-09-19,139.17,140.37,134.53,136.02,905600
2022-09-20,135.7,136.05,133.97,135.09,4871703
2022-09-21,135.12,140.12,133.44,138.28,1656365
2022-09-22,138.59,140.84,137.85,139.32,1018264
2022-09-23,139.78,140.15,135.33,137.27,4370633
2022-09-26,137.74,139.37,135.58,136.37,4058069
2022-09-27,135.88,137.0,129.89,130.85,3527728
2022-09-28,131.17,133.06,129.3,129.61,1552199
2022-09-29,129.14,130.92,126.1,127.27,4618652
2022-09-30,127.59,129.42,126.73,127.4,2337331
2022-10-03,127.04,130.01,126.36,128.11,2716811
2022-10-04,127.75,132.49,126.38,131.53,3844131
2022-10-05,131.98,134.83,130.47,133.93,1195353
2022-10-06,133.92,134.8,131.23,133.14,647223
2022-10-07,133.01,134.55,131.1,133.61,4349526
2022-10-10,133.65,138.04,132.87,136.08,2291628
2022-10-11,135.77,138.19,134.06,137.86,2546228
2022-10-12,137.96,138.1,134.78,136.37,1596060
